OCC,COUNT_TOT,WITH_INC,MED_INC,AVG_INC,COUNT_WAGE,MED_WAGE,AVG_WAGE,NOC,noc_title,harm.rank,relative.measure
4032 Elementary school and kindergarten teachers,304765,299780,63572,58898,297140,63848,59065,4032,4032 Elementary school and kindergarten teachers,196.554969597467,-196.554969597467
4033 Educational counsellors,24470,23780,55549,54666,23240,56190,55205,4033,4033 Educational counsellors,171.326674227808,-171.326674227808
4111 Judges,3370,3325,259550,228381,3255,264379,229182,4111,4111 Judges,258.548697298296,-258.548697298296
4112 Lawyers and Quebec notaries,95745,89985,96865,140230,67685,92233,117966,4112,4112 Lawyers and Quebec notaries,175.121033267582,-175.121033267582
4151 Psychologists,24940,23685,55356,59031,17135,57552,57079,4151,4151 Psychologists,196.624612416575,-196.624612416575
4152 Social workers,62235,61085,59010,56931,59575,59494,57262,4152,4152 Social workers,257.465902298206,-257.465902298206
"4153 Family, marriage and other related counsellors",27970,26900,46500,46586,24130,49054,48591,4153,"4153 Family, marriage and other related counsellors",318.301148918428,-318.301148918428
4154 Professional occupations in religion,31640,29890,44220,45243,28580,44941,45990,4154,4154 Professional occupations in religion,257.08360972908,-257.08360972908
4155 Probation and parole officers and related occupations,6095,6065,72894,67569,6035,73022,67673,4155,4155 Probation and parole officers and related occupations,184.648390909289,-184.648390909289
4156 Employment counsellors,14945,14500,43421,44360,13880,43917,44705,4156,4156 Employment counsellors,171.326674227808,-171.326674227808
"4161 Natural and applied science policy researchers, consultants and program officers",28650,27325,71114,73481,25835,72405,74521,4161,"4161 Natural and applied science policy researchers, consultants and program officers",55.6028371792216,-55.6028371792216
4162 Economists and economic policy researchers and analysts,19660,18825,79042,94897,18240,79777,96155,4162,4162 Economists and economic policy researchers and analysts,55.177111683551,-55.177111683551
4163 Business development officers and marketing researchers and consultants,70320,65095,53310,65901,58730,56207,69018,4163,4163 Business development officers and marketing researchers and consultants,68.7551114527169,-68.7551114527169
"4164 Social policy researchers, consultants and program officers",35590,34260,61460,61427,32685,62870,62621,4164,"4164 Social policy researchers, consultants and program officers",71.5086070251752,-71.5086070251752
"4165 Health policy researchers, consultants and program officers",35560,33860,60942,63409,32085,62218,64366,4165,"4165 Health policy researchers, consultants and program officers",62.5673480274264,-62.5673480274264
"4166 Education policy researchers, consultants and program officers",25565,24445,57687,57180,22595,60386,59004,4166,"4166 Education policy researchers, consultants and program officers",158.638228898541,-158.638228898541
"4167 Recreation, sports and fitness policy researchers, consultants and program officers",11205,10940,42355,45102,10565,42932,45388,4167,"4167 Recreation, sports and fitness policy researchers, consultants and program officers",34.0735106818859,-34.0735106818859
4168 Program officers unique to government,23845,22910,49477,49583,22575,49939,49777,4168,4168 Program officers unique to government,270.862137776897,-270.862137776897
4211 Paralegal and related occupations,30845,29765,46123,48546,27835,47426,49420,4211,4211 Paralegal and related occupations,167.354263788645,-167.354263788645
4212 Social and community service workers,155625,149670,37452,38169,146740,37716,38315,4212,4212 Social and community service workers,295.029675206164,-295.029675206164
4214 Early childhood educators and assistants,216725,206615,24307,25099,177440,25644,25843,4214,4214 Early childhood educators and assistants,405.558722305428,-405.558722305428
4215 Instructors of persons with disabilities,22435,21980,39126,38541,21505,39399,38778,4215,4215 Instructors of persons with disabilities,215.163212623848,-215.163212623848
4216 Other instructors,35530,30350,11226,21072,23670,10988,22401,4216,4216 Other instructors,336.825055155586,-336.825055155586
4311 Police officers (except commissioned),79830,79400,99317,95312,79140,99474,95557,4311,4311 Police officers (except commissioned),62.3424377803176,-62.3424377803176
4312 Firefighters,34695,34125,96779,90219,33935,96675,90207,4312,4312 Firefighters,56.5650951408166,-56.5650951408166
4411 Home child care providers,109245,87070,12492,15635,55015,14861,17177,4411,4411 Home child care providers,370.781652822895,-370.781652822895
"4412 Home support workers, housekeepers and related occupations",113950,103925,21583,24097,96585,22394,24645,4412,"4412 Home support workers, housekeepers and related occupations",432.815774995772,-432.815774995772
4413 Elementary and secondary school teacher assistants,136075,131340,23682,24210,130290,23580,24046,4413,4413 Elementary and secondary school teacher assistants,278.294846461559,-278.294846461559
4421 Sheriffs and bailiffs,3280,3125,57078,54222,2650,58543,55456,4421,4421 Sheriffs and bailiffs,170.586742125557,-170.586742125557
4422 Correctional service officers,24755,24520,72287,68796,24455,72371,68949,4422,4422 Correctional service officers,164.337856687035,-164.337856687035
"4423 By-law enforcement and other regulatory officers, n.e.c.",10540,10430,57357,57524,10275,57727,57457,4423,"4423 By-law enforcement and other regulatory officers, n.e.c.",161.074709221206,-161.074709221206
5111 Librarians,9835,9700,59280,58443,9605,59500,58493,5111,5111 Librarians,105.32505464801,-105.32505464801
5112 Conservators and curators,2175,2000,49522,48040,1785,53414,51890,5112,5112 Conservators and curators,160.364020633116,-160.364020633116
5113 Archivists,2060,1975,48762,46673,1905,49251,47197,5113,5113 Archivists,118.932738612311,-118.932738612311
5121 Authors and writers,31110,26755,27597,38039,19475,35295,41704,5121,5121 Authors and writers,216.906512763975,-216.906512763975
5122 Editors,19170,17795,38579,42308,14065,43462,45823,5122,5122 Editors,147.538349025407,-147.538349025407
5123 Journalists,13045,12240,44728,50552,10860,48392,52813,5123,5123 Journalists,147.565297530003,-147.565297530003
"5125 Translators, terminologists and interpreters",19950,17735,28404,34326,11700,35041,39216,5125,"5125 Translators, terminologists and interpreters",127.358288285042,-127.358288285042
"5131 Producers, directors, choreographers and related occupations",29075,26455,45062,53795,21925,48611,56375,5131,"5131 Producers, directors, choreographers and related occupations",91.1902061117221,-91.1902061117221
"5132 Conductors, composers and arrangers",4550,4055,16918,28964,2945,15216,28923,5132,"5132 Conductors, composers and arrangers",187.893413594748,-187.893413594748
5133 Musicians and singers,40295,34245,11258,18734,19075,6864,15430,5133,5133 Musicians and singers,374.445502438687,-374.445502438687
5134 Dancers,11700,9935,10499,16005,7260,7700,14019,5134,5134 Dancers,433.902274256002,-433.902274256002
5135 Actors and comedians,15995,13170,9030,19805,8260,4926,15284,5135,5135 Actors and comedians,397.005284865633,-397.005284865633
"5136 Painters, sculptors and other visual artists",24785,19685,10680,20091,11210,14283,25978,5136,"5136 Painters, sculptors and other visual artists",63.9876855037228,-63.9876855037228
5211 Library and public archive technicians,10365,10180,37203,37153,10125,37168,36871,5211,5211 Library and public archive technicians,227.195606916094,-227.195606916094
5212 Technical occupations related to museums and art galleries,9070,8675,11931,19480,8015,11950,19677,5212,5212 Technical occupations related to museums and art galleries,131.57375989161,-131.57375989161
5221 Photographers,21030,17600,12539,20781,10070,12119,22824,5221,5221 Photographers,80.7487510151046,-80.7487510151046
5222 Film and video camera operators,5755,5260,34027,39909,4450,34788,40783,5222,5222 Film and video camera operators,28.8861545670196,-28.8861545670196
5223 Graphic arts technicians,9690,9040,38238,45746,7990,40450,48714,5223,5223 Graphic arts technicians,47.836426342585,-47.836426342585
5224 Broadcast technicians,2245,2190,58711,56846,2115,59064,57068,5224,5224 Broadcast technicians,17.2558191921362,-17.2558191921362
5225 Audio and video recording technicians,14315,13205,39490,45784,11370,41165,46784,5225,5225 Audio and video recording technicians,23.0634111193436,-23.0634111193436
"5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",15875,15230,41932,48769,14385,42220,48704,5226,"5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",306.400583892425,-306.400583892425
"5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",11840,11085,30332,38285,10385,30585,38198,5227,"5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",174.087290751446,-174.087290751446
5231 Announcers and other broadcasters,6500,6035,36312,50736,5405,38490,51489,5231,5231 Announcers and other broadcasters,29.0697929849839,-29.0697929849839
"5232 Other performers, n.e.c.",8395,6630,10945,21511,4350,7675,19851,5232,"5232 Other performers, n.e.c.",405.104175789701,-405.104175789701
5241 Graphic designers and illustrators,66875,61120,35470,39538,49300,38760,41897,5241,5241 Graphic designers and illustrators,47.3701133655932,-47.3701133655932
5242 Interior designers and interior decorators,28025,24950,29516,35832,18640,34700,40497,5242,5242 Interior designers and interior decorators,91.5112064215778,-91.5112064215778
"5243 Theatre, fashion, exhibit and other creative designers",16175,14425,29480,38304,12020,32567,40826,5243,"5243 Theatre, fashion, exhibit and other creative designers",162.344740070733,-162.344740070733
5244 Artisans and craftspersons,17285,14180,12115,18950,8995,16247,22193,5244,5244 Artisans and craftspersons,200.848681646806,-200.848681646806
"5245 Patternmakers - textile, leather and fur products",1120,1025,38133,42446,870,41534,45074,5245,"5245 Patternmakers - textile, leather and fur products",116.41174474604,-116.41174474604
5251 Athletes,3940,2905,17181,145584,2245,19238,179033,5251,5251 Athletes,194.470457191997,-194.470457191997
5252 Coaches,11965,10935,21625,33581,8335,23644,36167,5252,5252 Coaches,202.304109711628,-202.304109711628
5253 Sports officials and referees,13435,4825,2679,9947,4385,2489,9894,5253,5253 Sports officials and referees,390.344156910805,-390.344156910805
"5254 Program leaders and instructors in recreation, sport and fitness",161365,144880,7372,13972,132785,6717,13420,5254,"5254 Program leaders and instructors in recreation, sport and fitness",365.891362409051,-365.891362409051
6211 Retail sales supervisors,67865,66440,29182,34806,65755,29261,34811,6211,6211 Retail sales supervisors,235.447345599156,-235.447345599156
6221 Technical sales specialists - wholesale trade,81940,78640,69352,86444,75185,70921,88271,6221,6221 Technical sales specialists - wholesale trade,108.298335880681,-108.298335880681
6222 Retail and wholesale buyers,38950,37445,30726,40354,36420,31167,40809,6222,6222 Retail and wholesale buyers,151.162324879814,-151.162324879814
6231 Insurance agents and brokers,73890,71480,46161,56877,61945,47465,58277,6231,6231 Insurance agents and brokers,240.643743951215,-240.643743951215
6232 Real estate agents and salespersons,99750,90060,30940,50955,32760,23248,46945,6232,6232 Real estate agents and salespersons,191.711968604935,-191.711968604935
6235 Financial sales representatives,65500,63940,46579,60354,60715,47161,61469,6235,6235 Financial sales representatives,185.445337937582,-185.445337937582
6311 Food service supervisors,44555,43715,22749,25427,43480,22721,25390,6311,6311 Food service supervisors,307.130393952086,-307.130393952086
6312 Executive housekeepers,4025,3955,34876,36828,3905,34858,36976,6312,6312 Executive housekeepers,289.384508325765,-289.384508325765
"6313 Accommodation, travel, tourism and related services supervisors",5210,5110,43718,46041,5035,43933,46253,6313,"6313 Accommodation, travel, tourism and related services supervisors",230.505280825252,-230.505280825252
6314 Customer and information services supervisors,12215,12075,47471,51702,12030,47529,51720,6314,6314 Customer and information services supervisors,322.121747882394,-322.121747882394
6315 Cleaning supervisors,12280,11850,40409,44276,10905,42028,45667,6315,6315 Cleaning supervisors,289.384508325765,-289.384508325765
6316 Other services supervisors,16180,15730,34560,39117,15495,34864,39286,6316,6316 Other services supervisors,322.121747882394,-322.121747882394
6321 Chefs,65925,62340,27676,31128,59665,28062,31424,6321,6321 Chefs,268.372500821635,-268.372500821635
6322 Cooks,255240,238310,17603,20488,232345,17681,20482,6322,6322 Cooks,397.193200227681,-397.193200227681
"6331 Butchers, meat cutters and fishmongers - retail and wholesale",21200,20215,30417,30413,19710,30591,30509,6331,"6331 Butchers, meat cutters and fishmongers - retail and wholesale",402.35587155325,-402.35587155325
6332 Bakers,48495,45375,20672,23063,43380,21158,23348,6332,6332 Bakers,318.784441151265,-318.784441151265
6341 Hairstylists and barbers,109225,101610,16254,19854,60845,19016,21985,6341,6341 Hairstylists and barbers,310.194413072263,-310.194413072263
"6342 Tailors, dressmakers, furriers and milliners",19575,17190,17443,20310,12480,21720,23163,6342,"6342 Tailors, dressmakers, furriers and milliners",363.469685491618,-363.469685491618
6343 Shoe repairers and shoemakers,1540,1415,19233,23325,900,25259,27899,6343,6343 Shoe repairers and shoemakers,423.220121646406,-423.220121646406
"6344 Jewellers, jewellery and watch repairers and related occupations",5720,4900,18582,24431,3265,24692,29281,6344,"6344 Jewellers, jewellery and watch repairers and related occupations",231.201207095195,-231.201207095195
6345 Upholsterers,5550,5155,28087,29798,3805,32749,34162,6345,6345 Upholsterers,255.667122942758,-255.667122942758
6346 Funeral directors and embalmers,5100,4900,48543,52870,4790,48671,52815,6346,6346 Funeral directors and embalmers,231.57170877127,-231.57170877127
6411 Sales and account representatives - wholesale trade (non-technical),119815,113245,50693,62139,103655,52887,64648,6411,6411 Sales and account representatives - wholesale trade (non-technical),263.867975243689,-263.867975243689
6421 Retail salespersons,763820,720185,15467,23753,695145,15442,23740,6421,6421 Retail salespersons,251.981678484496,-251.981678484496
6511 Maîtres d'hôtel and hosts/hostesses,34080,31555,6256,9056,31300,6158,8947,6511,6511 Ma�tres d'h�tel and hosts/hostesses,406.115012532996,-406.115012532996
6512 Bartenders,45325,43525,15300,17120,43020,15144,16894,6512,6512 Bartenders,327.124388987807,-327.124388987807
6513 Food and beverage servers,261795,246995,12501,15076,244070,12359,14945,6513,6513 Food and beverage servers,365.538924235729,-365.538924235729
6521 Travel counsellors,27180,25475,30085,32172,21755,32528,34684,6521,6521 Travel counsellors,61.1198046472453,-61.1198046472453
6522 Pursers and flight attendants,16530,16285,47257,46572,16145,47177,46305,6522,6522 Pursers and flight attendants,350.873102055469,-350.873102055469
6523 Airline ticket and service agents,14140,13850,35053,38177,13755,35131,38111,6523,6523 Airline ticket and service agents,101.843126906071,-101.843126906071
"6524 Ground and water transport ticket agents, cargo service representatives and related clerks",3420,3345,34831,38176,3275,35587,38518,6524,"6524 Ground and water transport ticket agents, cargo service representatives and related clerks",189.680954896093,-189.680954896093
6525 Hotel front desk clerks,24565,23645,22311,23400,23465,22320,23334,6525,6525 Hotel front desk clerks,158.857223980382,-158.857223980382
6531 Tour and travel guides,6360,5855,9504,14463,5190,8595,14206,6531,6531 Tour and travel guides,334.634300629593,-334.634300629593
6532 Outdoor sport and recreational guides,5460,5010,14992,20744,4425,14869,20270,6532,6532 Outdoor sport and recreational guides,193.068584678856,-193.068584678856
6533 Casino occupations,14175,13830,38183,37506,13660,38211,37503,6533,6533 Casino occupations,366.099264718502,-366.099264718502
6541 Security guards and related security service occupations,131690,126810,26942,30674,125225,27011,30601,6541,6541 Security guards and related security service occupations,154.302863857394,-154.302863857394
6551 Customer services representatives - financial institutions,82450,80740,29769,32432,80265,29799,32379,6551,6551 Customer services representatives - financial institutions,157.677251406855,-157.677251406855
6552 Other customer and information services representatives,234160,225805,29796,33027,222540,30011,33078,6552,6552 Other customer and information services representatives,157.677251406855,-157.677251406855
"6561 Image, social and other personal consultants",3350,2925,16338,26378,2180,17475,28484,6561,"6561 Image, social and other personal consultants",401.658078897397,-401.658078897397
"6562 Estheticians, electrologists and related occupations",64975,58905,15368,18864,41200,17075,20135,6562,"6562 Estheticians, electrologists and related occupations",406.714191807462,-406.714191807462
6563 Pet groomers and animal care workers,27875,24085,12811,17506,17195,13057,18402,6563,6563 Pet groomers and animal care workers,371.647505104895,-371.647505104895
6564 Other personal service occupations,2905,2395,10293,15020,1205,9508,16237,6564,6564 Other personal service occupations,322.121747882394,-322.121747882394
6611 Cashiers,405345,376760,9850,12813,373710,9757,12717,6611,6611 Cashiers,361.013393071973,-361.013393071973
6621 Service station attendants,21270,19580,12293,17404,19345,12227,17262,6621,6621 Service station attendants,151.374012313817,-151.374012313817
"6622 Store shelf stockers, clerks and order fillers",207050,195005,14256,18210,193670,14193,18120,6622,"6622 Store shelf stockers, clerks and order fillers",379.468499075598,-379.468499075598
6623 Other sales related occupations,50995,44900,13510,24952,37315,15181,26803,6623,6623 Other sales related occupations,253.942621510929,-253.942621510929
"6711 Food counter attendants, kitchen helpers and related support occupations",462735,421180,9986,13886,416495,9876,13789,6711,"6711 Food counter attendants, kitchen helpers and related support occupations",395.390899201142,-395.390899201142
"6721 Support occupations in accommodation, travel and facilities set-up services",6675,6125,21050,25367,5975,21004,25245,6721,"6721 Support occupations in accommodation, travel and facilities set-up services",354.258549681928,-354.258549681928
"6722 Operators and attendants in amusement, recreation and sport",42445,38925,8441,15816,38405,8297,15642,6722,"6722 Operators and attendants in amusement, recreation and sport",274.649059549668,-274.649059549668
6731 Light duty cleaners,292655,263430,17005,20386,223650,18826,21314,6731,6731 Light duty cleaners,447.899967478922,-447.899967478922
6732 Specialized cleaners,50510,46335,20621,25023,41760,21303,25322,6732,6732 Specialized cleaners,374.074803337767,-374.074803337767
"6733 Janitors, caretakers and building superintendents",254295,235570,29296,32339,216250,31120,33377,6733,"6733 Janitors, caretakers and building superintendents",411.185487572694,-411.185487572694
"6741 Dry cleaning, laundry and related occupations",23665,22430,25071,25846,21530,25600,26205,6741,"6741 Dry cleaning, laundry and related occupations",401.858392270154,-401.858392270154
"6742 Other service support occupations, n.e.c.",33855,31735,12493,19471,30910,12335,19324,6742,"6742 Other service support occupations, n.e.c.",356.976116281331,-356.976116281331
"7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",15980,15490,72941,84446,15150,73438,85236,7201,"7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",181.734585335964,-181.734585335964
"7202 Contractors and supervisors, electrical trades and telecommunications occupations",18750,17950,79633,86217,16840,82254,89089,7202,"7202 Contractors and supervisors, electrical trades and telecommunications occupations",181.734585335964,-181.734585335964
"7203 Contractors and supervisors, pipefitting trades",6795,6425,82161,87565,6100,83722,90158,7203,"7203 Contractors and supervisors, pipefitting trades",181.734585335964,-181.734585335964
"7204 Contractors and supervisors, carpentry trades",21730,19365,43272,49814,13945,53477,57505,7204,"7204 Contractors and supervisors, carpentry trades",181.734585335964,-181.734585335964
"7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",42115,37700,42949,52759,28050,51062,59317,7205,"7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",104.235113217106,-104.235113217106
7231 Machinists and machining and tooling inspectors,40995,40080,52209,54001,39265,52781,54498,7231,7231 Machinists and machining and tooling inspectors,90.0732097832037,-90.0732097832037
7232 Tool and die makers,12100,11820,60987,62277,11480,61998,63457,7232,7232 Tool and die makers,33.3082443926502,-33.3082443926502
7233 Sheet metal workers,21820,21360,52919,55462,20825,53327,55752,7233,7233 Sheet metal workers,139.443852633723,-139.443852633723
7234 Boilermakers,4600,4525,73279,79364,4480,73441,79801,7234,7234 Boilermakers,238.253799216431,-238.253799216431
7235 Structural metal and platework fabricators and fitters,6280,6125,52299,53577,5960,53184,54479,7235,7235 Structural metal and platework fabricators and fitters,254.407876655299,-254.407876655299
7236 Ironworkers,15840,15485,62231,65592,15260,62409,66097,7236,7236 Ironworkers,250.045276004786,-250.045276004786
7237 Welders and related machine operators,103010,99165,47478,52107,95745,48004,52800,7237,7237 Welders and related machine operators,318.542793371944,-318.542793371944
7241 Electricians (except industrial and power system),100600,97205,52142,56455,92295,53612,57652,7241,7241 Electricians (except industrial and power system),83.1773656528259,-83.1773656528259
7242 Industrial electricians,31215,30715,83105,86846,30490,83254,87066,7242,7242 Industrial electricians,90.3205648965222,-90.3205648965222
7243 Power system electricians,6545,6495,89102,88852,6475,89643,89072,7243,7243 Power system electricians,83.1773656528259,-83.1773656528259
7244 Electrical power line and cable workers,13330,13190,95874,95372,13105,96493,96133,7244,7244 Electrical power line and cable workers,121.018343023358,-121.018343023358
7245 Telecommunications line and cable workers,11120,10840,55296,56862,10580,56212,57422,7245,7245 Telecommunications line and cable workers,16.5261708919206,-16.5261708919206
7246 Telecommunications installation and repair workers,28575,27810,58171,58524,26880,59233,59574,7246,7246 Telecommunications installation and repair workers,17.7667599524449,-17.7667599524449
7247 Cable television service and maintenance technicians,1940,1890,43404,47358,1795,46003,48729,7247,7247 Cable television service and maintenance technicians,24.9374382091927,-24.9374382091927
7251 Plumbers,55590,53140,49427,53107,49305,51401,54713,7251,7251 Plumbers,160.377380429675,-160.377380429675
"7252 Steamfitters, pipefitters and sprinkler system installers",24650,24120,68636,72087,23920,68870,72382,7252,"7252 Steamfitters, pipefitters and sprinkler system installers",151.188820943545,-151.188820943545
7253 Gas fitters,7775,7445,50396,57094,6675,53992,60441,7253,7253 Gas fitters,151.188820943545,-151.188820943545
7271 Carpenters,180635,166925,35326,39622,138725,37998,41537,7271,7271 Carpenters,155.204311013234,-155.204311013234
7272 Cabinetmakers,20190,18845,32106,32867,15515,34900,35659,7272,7272 Cabinetmakers,155.204311013234,-155.204311013234
