year,identity,probability
2001,John,0.193722695770571
2006,John,0.179608821693562
2011,John,0.21332472781586
2016,John,0.200527618752014
2001,Woman,0.0639241072316553
2006,Woman,0.0531511363980638
2011,Woman,0.0574323478625505
2016,Woman,0.0495007289164624
2001,Woman without BA,0.0176017231477343
2006,Woman without BA,0.0147740316932731
2011,Woman without BA,0.0160163374800773
2016,Woman without BA,0.0137211592825189
2001,First Nations Woman without BA,0.00554113159192741
2006,First Nations Woman without BA,0.0049323263281133
2011,First Nations Woman without BA,0.00586424516155423
2016,First Nations Woman without BA,0.0055909467868329
